Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Demo,Firefox 60.0,,2018-06-21 15:17:32,2018-06-21 15:18:24,51.810s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Firefox 60.0,,2018-06-21 15:17:33,2018-06-21 15:17:43,10.566s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:33,2018-06-21 15:17:33,0.099s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:33,2018-06-21 15:17:33,0.010s,PASSED
openBrowser,Firefox 60.0,(This can be added to a setup function),2018-06-21 15:17:33,2018-06-21 15:17:38,4.405s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-21 15:17:38,2018-06-21 15:17:40,2.101s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:40,2018-06-21 15:17:40,0.002s,PASSED
callTestCase,Firefox 60.0,Call 'Login' test case,2018-06-21 15:17:40,2018-06-21 15:17:43,3.193s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:43,2018-06-21 15:17:43,0.002s,PASSED
Statement - switch (var_expectedResult.toString()),Firefox 60.0,Check expected results,2018-06-21 15:17:43,2018-06-21 15:17:43,0.036s,PASSED
closeBrowser,Firefox 60.0,(This can be added to a clear down function),2018-06-21 15:17:43,2018-06-21 15:17:43,0.262s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Firefox 60.0,,2018-06-21 15:17:43,2018-06-21 15:17:54,10.613s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:43,2018-06-21 15:17:43,0.001s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:43,2018-06-21 15:17:43,0.001s,PASSED
openBrowser,Firefox 60.0,(This can be added to a setup function),2018-06-21 15:17:43,2018-06-21 15:17:47,3.927s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-21 15:17:47,2018-06-21 15:17:51,3.570s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:51,2018-06-21 15:17:51,0.004s,PASSED
callTestCase,Firefox 60.0,Call 'Login' test case,2018-06-21 15:17:51,2018-06-21 15:17:54,2.808s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:54,2018-06-21 15:17:54,0.000s,PASSED
Statement - switch (var_expectedResult.toString()),Firefox 60.0,Check expected results,2018-06-21 15:17:54,2018-06-21 15:17:54,0.033s,PASSED
closeBrowser,Firefox 60.0,(This can be added to a clear down function),2018-06-21 15:17:54,2018-06-21 15:17:54,0.248s,PASSED
,,,,,,
Test Cases/Test Cases - Portal/TC1_Verify Successfull Login,Firefox 60.0,,2018-06-21 15:17:54,2018-06-21 15:18:24,30.188s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:54,2018-06-21 15:17:54,0.001s,PASSED
comment,Firefox 60.0,,2018-06-21 15:17:54,2018-06-21 15:17:54,0.000s,PASSED
openBrowser,Firefox 60.0,(This can be added to a setup function),2018-06-21 15:17:54,2018-06-21 15:17:58,3.954s,PASSED
navigateToUrl,Firefox 60.0,,2018-06-21 15:17:58,2018-06-21 15:18:21,23.155s,PASSED
comment,Firefox 60.0,,2018-06-21 15:18:21,2018-06-21 15:18:21,0.003s,PASSED
callTestCase,Firefox 60.0,Call 'Login' test case,2018-06-21 15:18:21,2018-06-21 15:18:24,2.815s,PASSED
comment,Firefox 60.0,,2018-06-21 15:18:24,2018-06-21 15:18:24,0.001s,PASSED
Statement - switch (var_expectedResult.toString()),Firefox 60.0,Check expected results,2018-06-21 15:18:24,2018-06-21 15:18:24,0.013s,PASSED
closeBrowser,Firefox 60.0,(This can be added to a clear down function),2018-06-21 15:18:24,2018-06-21 15:18:24,0.230s,PASSED
